year,rank,number_wings,name,notes
2012,1,144,"Joey ""Jaws"" Chestnut",
2012,2,140,Adrian “The Rabbit” Morgan,
2012,3,131,Sonya “The Black Widow” Thomas,
2012,4,120,Pat “Deep Dish” Bertoletti,not in original results
2012,5,119,“The Lovely” Juliet Lee,not in original results
2012,6,115,Tim “Gravy” Brown,originally listed at 119
2012,7,102,“Notorious” Bob Shoudt,originally listed at 115
2012,8,88,Erik “The Red” Denmark,originally listed at 102
2012,9,85,Nate Biller,originally listed at 88
2012,10,55,Lewis Richards,from England
2012,11,53,Crazy Legs Conti,about 1/3 of the 148 wings he was credited with in the qualifer
2012,12,21,Aasif Mandvi,"The Daily Show contributor, claimed wings tasted like bleach after contest"
2013,1,179,"Joey ""Jaws"" Chestnut",
2013,2,155,Miki Sudo,
2013,3,149,"Adrian ""The Rabbit"" Morgan",
2013,4,131,Michelle “Cardboard Shell” Lesco,
2013,5,128,Sonya “The Black Widow” Thomas,
2013,6,113,Sean Gordon,
2013,7,109,Marcos Owens,
2013,8,108,“The Lovely” Juliet Lee,
2013,9,85,Brian Subich,
2013,10,82,Erik “The Red” Denmark,
2013,11,78,Eric “Badlands” Booker,
2013,12,78,Damien Boykin,
2013,13,72,Bam Martinez,
2013,14,68,Jon Bello,
2013,15,60,Neil Sebree,
2013,16,49,Alex Perez,
2014,1,182,"Joey ""Jaws"" Chestnut",
2014,2,174,"Adrian ""The Rabbit"" Morgan",
2014,3,165,"Matt ""Megatoad"" Stonie",
2014,4,154,“The Lovely” Juliet Lee,
2014,5,146,Miki Sudo,
2014,6,142,Michelle “Cardboard Shell” Lesco,
2014,7,140,Marcos Owens,
2014,8,132,Juan “more bite” Rodriguez,
2014,9,132,Erik “The Red” Denmark,
2014,10,118,Eric “Badlands” Booker,
2014,11,104,Pablo Martinez,
2015,1,241,"Matt ""Megatoad” Stonie",
2015,2,200,"Joey ""Jaws"" Chestnut",
2015,3,194,Adrian “The Rabbit” Morgan,
2015,4,192,Yasir Salem,
2015,5,170,Gideon Oji,
2015,6,158,Michelle “Cardboard Shell” Lesco,
2015,7,154,Miki Sudo,
2015,8,126,“The Lovely” Juliet Lee,
2015,9,126,Sonya “The Black Widow” Thomas,
2015,10,118,Juan “more bite” Rodriguez,
2015,11,116,"Richard ""the Locust"" LeFevre",
2015,12,114,Steve Hendry,
2015,13,106,Erik “The Red” Denmark,
2016,1,194,"Joey ""Jaws"" Chestnut",
2016,2,186,"Matt ""Megatoad” Stonie",
2016,3,176,Adrian “The Rabbit” Morgan,
2016,4,161,Gideon Oji,first finish outside top 3 since 2005
2016,5,142,Michelle “Cardboard Shell” Lesco,
2016,6,138,Yasir Salem,
2016,7,137,Geoffrey Esper,
2016,8,136,Juan “more bite” Rodriguez,
2016,9,126,Juliet Lee,
2016,10,122,Josh Miller,
2016,11,116,Miki sudo,
2017,1,250,Geoffrey Esper,
2017,2,229,"Matt ""Megatoad"" Stonie",
2017,3,210,"Adrian ""The Rabbit"" Morgan",
2017,4,191,"Joey ""Jaws"" Chestnut",
2017,5,168,Gideon Oji,
2017,6,158,Michelle “Cardboard Shell” Lesco,
2017,7,152,Josh Miller,
2017,8,124,"Richard ""the Locust"" LeFevre",
2017,9,114,Miki Sudo,
2017,10,110,Steve Hendry,
2017,11,108,Eric “Badlands” Booker,
2019,1,281,Geoffrey Esper,new record
2019,2,256,"Joey ""Jaws"" Chestnut",
2019,3,234,"Matt ""Megatoad” Stonie",
2019,4,223,Nick Wehry,
2019,5,214,Miki Sudo,
2019,6,200,Gideon Oji,
2019,7,199,Michelle “Cardboard Shell” Lesco,
2019,8,172,Steve Hendry,
2019,9,158,Matt “Hungry” Hazzard,
2019,10,115,Pablo Martinez,
2019,11,111,Nate Biller,